ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
10230,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.144036799
11458,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.312855813
11458,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-1.533972822
13875,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.000634161
13875,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.410611376
13875,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.053311933
13877,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.069635928
13903,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.079815716
13903,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.296064372
13903,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,0.077462847
14000,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.196171544
14000,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.082552063
146,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.120914869
146,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.178518879
146,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.088385841
15555,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.165625825
15555,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.156786104
16322,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.145912558
16893,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.070329317
17529,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.042113253
18083,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.026267671
18208,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.088751565
18208,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.040610713
18209,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.19553146
18216,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.017629042
19129,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.150851707
19129,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.344654721
19129,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.841856945
19872,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.274451338
21054,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.129107054
21054,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.031639959
21487,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.550707839
21494,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.024992401
21497,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.149731979
21498,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.138011379
21592,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.245371457
22689,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.35979891
2708,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.212088912
5181,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.095483757
5181,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.091960378
5181,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,0.074808799
5422,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.109743962
5444,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.149625211
5686,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.195167056
9534,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.066244616
10230,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.979167885
11458,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.040688728
11458,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.167792184
13875,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.182058328
13875,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.108292565
13875,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.099007054
13877,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.148062535
13903,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.160541464
13903,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.253032714
13903,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.007392827
14000,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.109847059
14000,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.079670523
146,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.03836821
146,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.099004874
146,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.051846485
15555,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.103540592
15555,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.335792102
16322,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.058247339
16893,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.071940135
17529,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.059454408
18083,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.156280309
18208,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.019536486
18208,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.054203274
18209,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.184017961
18216,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.272980092
19129,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.085297169
19129,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.274630365
19129,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.30767888
19872,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.133638949
21054,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.054342784
21054,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.038565697
21487,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.293751147
21494,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.03913469
21497,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.195065018
21498,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.242085764
21592,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.266128133
22689,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.075972723
