ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
10230,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.282883291
11458,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.827919243
11458,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.418070724
13875,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.196813573
13875,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.252467579
13875,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.007024996
13877,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.046798362
13903,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.142033034
13903,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.366630931
13903,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.091749884
14000,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.053346406
14000,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.161861761
146,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.243460421
146,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.120493896
146,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.068268003
15555,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,2.963090693
15555,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,2.745651747
16322,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.35564115
16893,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.900847015
17529,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.170462189
18083,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.621823111
18208,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.105913735
18208,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.729709143
18209,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.139758584
18216,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.471570086
19129,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.13850443
19129,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.11584226
19129,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,0.245370118
19872,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.563744694
21054,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.068950308
21054,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,0.527595986
21487,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.754559209
21494,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.057904119
21497,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.214179858
21498,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,1.44095219
21592,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.677079847
22689,20210310,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.049418706
2708,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,2.473735731
5181,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,-0.321001077
5181,20201119,Day 3,2,1,A. baumannii,0.1ng/mL LPS,-0.029667131
5181,20201207,Day 3,3,1,A. baumannii,0.1ng/mL LPS,-0.018163245
5422,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.343683679
5444,20210210,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.591370407
5686,20210311,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.869092476
9534,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,0.404040927
10230,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.454935917
11458,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.020901655
11458,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.618040391
13875,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.14423903
13875,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.410557144
13875,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.041512452
13877,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.306487074
13903,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.104924996
13903,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.784839852
13903,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.090611505
14000,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.003781545
14000,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.297805364
146,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.281841504
146,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.233415673
146,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.042937623
15555,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,3.181057146
15555,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,2.893607664
16322,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.469003364
16893,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.720479213
17529,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.255334178
18083,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.333687478
18208,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.038935209
18208,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.783954135
18209,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.264036087
18216,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.389280187
19129,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.166491885
19129,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.272921141
19129,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.704948217
19872,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.780161074
21054,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.073309635
21054,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.455857101
21487,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,1.24780044
21494,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.304183119
21497,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.31396377
21498,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,1.119481204
21592,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.617401133
22689,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.091912749
2708,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,2.874932564
5181,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.284766057
5181,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.020873119
5181,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.01605099
5422,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.455513052
5444,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.701466355
5686,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.732265061
9534,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.561984426
10230,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.197660352
11458,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.980738388
