ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
10230,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LPS,635.3333333
10230,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,502
10230,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,635
10230,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,524.6666667
10230,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,489.3333333
10230,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,528.6666667
10230,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,430.3333333
10230,20210125,Day 3,1,4,A. baumannii,100ng/mL LPS,478.6666667
10230,20210125,Day 3,1,1,A. baumannii,0.1ng/mL LTA,158
10230,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LTA,399.3333333
10230,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LTA,177
10230,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LTA,352.3333333
10230,20210125,Day 3,1,1,A. baumannii,100ng/mL LTA,498
10230,20210125,Day 3,1,2,A. baumannii,100ng/mL LTA,42.33333333
10230,20210125,Day 3,1,3,A. baumannii,100ng/mL LTA,384.3333333
10230,20210125,Day 3,1,4,A. baumannii,100ng/mL LTA,56.33333333
10230,20210125,Day 3,1,1,A. baumannii,Fungi alone,456
10230,20210125,Day 3,1,2,A. baumannii,Fungi alone,52.66666667
10230,20210125,Day 3,1,3,A. baumannii,Fungi alone,412.3333333
10230,20210125,Day 3,1,4,A. baumannii,Fungi alone,40
10230,20210125,Day 3,1,1,A. baumannii,Autoclaved bacteria,498.3333333
10230,20210125,Day 3,1,2,A. baumannii,Autoclaved bacteria,81.33333333
10230,20210125,Day 3,1,3,A. baumannii,Autoclaved bacteria,571
10230,20210125,Day 3,1,4,A. baumannii,Autoclaved bacteria,69
10230,20210125,Day 3,1,1,E. coli,0.1ng/mL LPS,303.6666667
10230,20210125,Day 3,1,2,E. coli,0.1ng/mL LPS,281.6666667
10230,20210125,Day 3,1,3,E. coli,0.1ng/mL LPS,352.3333333
10230,20210125,Day 3,1,4,E. coli,0.1ng/mL LPS,221.6666667
10230,20210125,Day 3,1,1,E. coli,100ng/mL LPS,199
10230,20210125,Day 3,1,2,E. coli,100ng/mL LPS,254.3333333
10230,20210125,Day 3,1,3,E. coli,100ng/mL LPS,253.3333333
10230,20210125,Day 3,1,4,E. coli,100ng/mL LPS,158.3333333
10230,20210125,Day 3,1,1,E. coli,0.1ng/mL LTA,117.3333333
10230,20210125,Day 3,1,2,E. coli,0.1ng/mL LTA,200
10230,20210125,Day 3,1,3,E. coli,0.1ng/mL LTA,110.3333333
10230,20210125,Day 3,1,4,E. coli,0.1ng/mL LTA,204.3333333
10230,20210125,Day 3,1,1,E. coli,100ng/mL LTA,167.6666667
10230,20210125,Day 3,1,2,E. coli,100ng/mL LTA,36.33333333
10230,20210125,Day 3,1,3,E. coli,100ng/mL LTA,175
10230,20210125,Day 3,1,4,E. coli,100ng/mL LTA,44
10230,20210125,Day 3,1,1,E. coli,Fungi alone,220
10230,20210125,Day 3,1,2,E. coli,Fungi alone,59.33333333
