ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,ZOI_mm
146,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,0
146,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,0
146,20201112,Day 3,1,1,E. coli,100ng/mL LPS,0
146,20201112,Day 3,1,2,E. coli,100ng/mL LPS,0
146,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,0
146,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,0
146,20201112,Day 3,1,1,E. coli,100ng/mL LTA,0
146,20201112,Day 3,1,2,E. coli,100ng/mL LTA,0
146,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,0
146,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,0
146,20201112,Day 3,1,1,E. coli,Fungi alone,0
146,20201112,Day 3,1,2,E. coli,Fungi alone,0
CON,20201112,Day 3,1,1,E. coli,CON control,0
CON,20201112,Day 3,1,2,E. coli,CON control,0
CON,20201112,Day 3,1,1,E. coli,PDB control,0
CON,20201112,Day 3,1,2,E. coli,PDB control,0
146,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,11.5
146,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,12
146,20201112,Day 3,1,1,S. aureus,100ng/mL LPS,11
146,20201112,Day 3,1,2,S. aureus,100ng/mL LPS,11
146,20201112,Day 3,1,1,S. aureus,0.1ng/mL LTA,10.5
146,20201112,Day 3,1,2,S. aureus,0.1ng/mL LTA,11
146,20201112,Day 3,1,1,S. aureus,100ng/mL LTA,10
146,20201112,Day 3,1,2,S. aureus,100ng/mL LTA,10
146,20201112,Day 3,1,1,S. aureus,Autoclaved bacteria,10.5
146,20201112,Day 3,1,2,S. aureus,Autoclaved bacteria,11
146,20201112,Day 3,1,1,S. aureus,Fungi alone,12
146,20201112,Day 3,1,2,S. aureus,Fungi alone,11
CON,20201112,Day 3,1,1,S. aureus,CON control,10.5
CON,20201112,Day 3,1,2,S. aureus,CON control,11
CON,20201112,Day 3,1,1,S. aureus,PDB control,10
CON,20201112,Day 3,1,2,S. aureus,PDB control,10.5
146,20201118,Day 7,1,1,E. coli,0.1ng/mL LPS,0
146,20201118,Day 7,1,2,E. coli,0.1ng/mL LPS,0
146,20201118,Day 7,1,1,E. coli,100ng/mL LPS,0
146,20201118,Day 7,1,2,E. coli,100ng/mL LPS,0
146,20201118,Day 7,1,1,E. coli,0.1ng/mL LTA,0
146,20201118,Day 7,1,2,E. coli,0.1ng/mL LTA,0
146,20201118,Day 7,1,1,E. coli,100ng/mL LTA,0
146,20201118,Day 7,1,2,E. coli,100ng/mL LTA,0
146,20201118,Day 7,1,1,E. coli,Autoclaved bacteria,0
146,20201118,Day 7,1,2,E. coli,Autoclaved bacteria,0
146,20201118,Day 7,1,1,E. coli,Fungi alone,0
146,20201118,Day 7,1,2,E. coli,Fungi alone,0
CON,20201118,Day 7,1,1,E. coli,CON control,0
CON,20201118,Day 7,1,2,E. coli,CON control,0
CON,20201118,Day 7,1,1,E. coli,PDB control,0
CON,20201118,Day 7,1,2,E. coli,PDB control,0
146,20201118,Day 7,1,1,S. aureus,0.1ng/mL LPS,8.5
146,20201118,Day 7,1,2,S. aureus,0.1ng/mL LPS,9
146,20201118,Day 7,1,1,S. aureus,100ng/mL LPS,9.5
146,20201118,Day 7,1,2,S. aureus,100ng/mL LPS,9.5
146,20201118,Day 7,1,1,S. aureus,0.1ng/mL LTA,10
146,20201118,Day 7,1,2,S. aureus,0.1ng/mL LTA,10.5
146,20201118,Day 7,1,1,S. aureus,100ng/mL LTA,10
146,20201118,Day 7,1,2,S. aureus,100ng/mL LTA,10
146,20201118,Day 7,1,1,S. aureus,Autoclaved bacteria,10
146,20201118,Day 7,1,2,S. aureus,Autoclaved bacteria,10
146,20201118,Day 7,1,1,S. aureus,Fungi alone,10
146,20201118,Day 7,1,2,S. aureus,Fungi alone,9
CON,20201118,Day 7,1,1,S. aureus,CON control,8.5
CON,20201118,Day 7,1,2,S. aureus,CON control,9
CON,20201118,Day 7,1,1,S. aureus,PDB control,9
CON,20201118,Day 7,1,2,S. aureus,PDB control,8.5
