ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,Hours,RLU
10230,20210203,Day14,1,1,A. baumannii,0.1ng/mL LPS,0,22
10230,20210203,Day14,1,2,A. baumannii,0.1ng/mL LPS,0,36
10230,20210203,Day14,1,3,A. baumannii,0.1ng/mL LPS,0,28
10230,20210203,Day14,1,4,A. baumannii,0.1ng/mL LPS,0,28
10230,20210203,Day14,1,1,A. baumannii,100ng/mL LPS,0,24
10230,20210203,Day14,1,2,A. baumannii,100ng/mL LPS,0,34
10230,20210203,Day14,1,3,A. baumannii,100ng/mL LPS,0,20
10230,20210203,Day14,1,4,A. baumannii,100ng/mL LPS,0,22
10230,20210203,Day14,1,1,A. baumannii,0.1ng/mL LTA,0,30
10230,20210203,Day14,1,2,A. baumannii,0.1ng/mL LTA,0,28
10230,20210203,Day14,1,3,A. baumannii,0.1ng/mL LTA,0,20
10230,20210203,Day14,1,4,A. baumannii,0.1ng/mL LTA,0,28
10230,20210203,Day14,1,1,A. baumannii,100ng/mL LTA,0,28
10230,20210203,Day14,1,2,A. baumannii,100ng/mL LTA,0,26
10230,20210203,Day14,1,3,A. baumannii,100ng/mL LTA,0,30
10230,20210203,Day14,1,4,A. baumannii,100ng/mL LTA,0,26
10230,20210203,Day14,1,1,A. baumannii,Fungi alone,0,24
10230,20210203,Day14,1,2,A. baumannii,Fungi alone,0,22
10230,20210203,Day14,1,3,A. baumannii,Fungi alone,0,34
10230,20210203,Day14,1,4,A. baumannii,Fungi alone,0,24
10230,20210203,Day14,1,1,A. baumannii,Autoclaved bacteria,0,26
10230,20210203,Day14,1,2,A. baumannii,Autoclaved bacteria,0,34
10230,20210203,Day14,1,3,A. baumannii,Autoclaved bacteria,0,24
10230,20210203,Day14,1,4,A. baumannii,Autoclaved bacteria,0,26
10230,20210203,Day14,1,1,E. coli,0.1ng/mL LPS,0,22
10230,20210203,Day14,1,2,E. coli,0.1ng/mL LPS,0,10
10230,20210203,Day14,1,3,E. coli,0.1ng/mL LPS,0,18
10230,20210203,Day14,1,4,E. coli,0.1ng/mL LPS,0,28
10230,20210203,Day14,1,1,E. coli,100ng/mL LPS,0,32
10230,20210203,Day14,1,2,E. coli,100ng/mL LPS,0,24
10230,20210203,Day14,1,3,E. coli,100ng/mL LPS,0,16
10230,20210203,Day14,1,4,E. coli,100ng/mL LPS,0,18
10230,20210203,Day14,1,1,E. coli,0.1ng/mL LTA,0,16
10230,20210203,Day14,1,2,E. coli,0.1ng/mL LTA,0,16
10230,20210203,Day14,1,3,E. coli,0.1ng/mL LTA,0,18
10230,20210203,Day14,1,4,E. coli,0.1ng/mL LTA,0,18
10230,20210203,Day14,1,1,E. coli,100ng/mL LTA,0,18
10230,20210203,Day14,1,2,E. coli,100ng/mL LTA,0,16
10230,20210203,Day14,1,3,E. coli,100ng/mL LTA,0,18
10230,20210203,Day14,1,4,E. coli,100ng/mL LTA,0,16
10230,20210203,Day14,1,1,E. coli,Fungi alone,0,14
10230,20210203,Day14,1,2,E. coli,Fungi alone,0,24
10230,20210203,Day14,1,3,E. coli,Fungi alone,0,16
10230,20210203,Day14,1,4,E. coli,Fungi alone,0,18
10230,20210203,Day14,1,1,E. coli,Autoclaved bacteria,0,16
10230,20210203,Day14,1,2,E. coli,Autoclaved bacteria,0,20
10230,20210203,Day14,1,3,E. coli,Autoclaved bacteria,0,16
10230,20210203,Day14,1,4,E. coli,Autoclaved bacteria,0,18
10230,20210203,Day14,1,1,P. aeruginosa,0.1ng/mL LPS,0,12
10230,20210203,Day14,1,2,P. aeruginosa,0.1ng/mL LPS,0,12
10230,20210203,Day14,1,3,P. aeruginosa,0.1ng/mL LPS,0,12
10230,20210203,Day14,1,4,P. aeruginosa,0.1ng/mL LPS,0,16
10230,20210203,Day14,1,1,P. aeruginosa,100ng/mL LPS,0,14
10230,20210203,Day14,1,2,P. aeruginosa,100ng/mL LPS,0,10
10230,20210203,Day14,1,3,P. aeruginosa,100ng/mL LPS,0,10
10230,20210203,Day14,1,4,P. aeruginosa,100ng/mL LPS,0,12
10230,20210203,Day14,1,1,P. aeruginosa,0.1ng/mL LTA,0,6
10230,20210203,Day14,1,2,P. aeruginosa,0.1ng/mL LTA,0,18
10230,20210203,Day14,1,3,P. aeruginosa,0.1ng/mL LTA,0,8
10230,20210203,Day14,1,4,P. aeruginosa,0.1ng/mL LTA,0,12
10230,20210203,Day14,1,1,P. aeruginosa,100ng/mL LTA,0,16
10230,20210203,Day14,1,2,P. aeruginosa,100ng/mL LTA,0,14
10230,20210203,Day14,1,3,P. aeruginosa,100ng/mL LTA,0,10
10230,20210203,Day14,1,4,P. aeruginosa,100ng/mL LTA,0,6
10230,20210203,Day14,1,1,P. aeruginosa,Fungi alone,0,16
10230,20210203,Day14,1,2,P. aeruginosa,Fungi alone,0,12
10230,20210203,Day14,1,3,P. aeruginosa,Fungi alone,0,14
